name,release_date,image,songs,notes,artist,genre,price
Love Is Not A Toy,1988,https://i.discogs.com/tRi6BQUA29lLdlUoFWWHkwcKAIv0OZFosbyW3S8R9bk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1MDgy/My0xMjQ4MzUwMDUw/LmpwZWc.jpeg,Love Is Not A Toy (Radio Mix)|Love Is Not A Toy (Vinnies Super Sax Mix)|Love Is Not A Toy (L.A's Cleopatra House Mix)|Love Is Not A Toy (Last Call House Dub)|Love Is Not A Toy (Freestyle Edit),,Keith Thompson,"[""Electronic""]",0.99
Can't Take It,1989,https://i.discogs.com/xi_2mHPKzZpUkCw3rxdX2xvi5p27BwgXSb0S75cV_QE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzOTc5/LTE2NjA5MTk0Njkt/ODM4Ni5qcGVn.jpeg,Can't Take It (Club)|Can't Take It (Dub)|Can't Take It (Raggamuffin House Mix)|Can't Take It (Jerk House Style Mix)|Can't Take It (Instrumental),,Keith Thompson,"[""Electronic""]",0.99
I Want What You've Got,1990,https://i.discogs.com/Qi-lxJr2YzBgGlby9PIJttAPr3uaJUT1ap2fHKipF28/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzOTgx/LTExMTcxMzM0MjYu/anBn.jpeg,I Want What You've Got (Extended Radio)|I Want What You've Got (Chantapella)|I Want What You've Got  (Radio)|I Want What You've Got (Club)|I Want What You've Got  (Dub),,Keith Thompson,"[""Electronic""]",2.53
Rhythm Of Life,1992,https://i.discogs.com/aMlmVUdS9e-u3iGTJEPJM9UZjCFqFe8lta7UHbneopY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk4NjU5/LTE2MDkwOTIyMzkt/MjMyNC5qcGVn.jpeg,Rhythm Of Life (Home Fries Ala India)|Rhythm Of Life (T. Humphries Classic)|Rhythm Of Life (Rhythm Of 90)|Rhythm Of Life (Do-Re-Mix)|Rhythm Of Life (Instrumentality),,Keith Thompson,"[""Electronic""]",0.3
Believe,1992,https://i.discogs.com/R7_n7M4TCuXgH3Qo-03ErY4MjY4pG8hpR2a9mNhn_4Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk4NjU1/LTExNzM1MzMyMDgu/anBlZw.jpeg,Believe (Original Mix)|Believe (Just Right Vocal Remix)|Believe (Just Right Underground Dub)|Believe (Big Up Reggae Mix),,Keith Thompson,"[""Electronic""]",1.74
Love And Understanding,1993,https://i.discogs.com/nrr5rxHV3osxiYj8XGxGwi0hGRhd6-7yUWICzUUWlfs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMDE2/Ni0xNDQ5NTg5MzE0/LTcwNzQuanBlZw.jpeg,Love And Understanding (Just Right Vocal)|Love And Understanding (Just Right Dub)|Love And Understanding (Grunge Mix)|Love And Understanding (Diesel Dub),,Keith Thompson,"[""Electronic""]",3.37
Not Enough Loving,1995,https://i.discogs.com/sbVNuICWDy6t5p9qTobs1fcWzdg3wZxK8OBc-0rsBjc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNDgy/LTExMTYzNzY3NzIu/anBn.jpeg,Not Enough Loving (Manhatten Jump Mix)|Not Enough Loving (Booker T's Dub)|Not Enough Loving (Bookstone Lick)|Not Enough Loving (Mass Dub),,Keith Thompson,"[""Electronic""]",1.67
Right Here Right Now,1998,https://i.discogs.com/YMwcJSf9W7quM0_C6j7tLUb5hoB-eKE8TzlrR1aH0tI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyMzI3/LTEyOTE1MTE2NzUu/anBlZw.jpeg,Right Here Now|Right Here Now (Instrumental),,Keith Thompson,"[""Electronic""]",1.86
Love Supreme / You Give Me Love,2002,https://i.discogs.com/b_LfKESqhgwd9bYmBq8m4PsdVPuC7_gH2dANv06D9t8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNDAw/NTItMTI2MDIyNTI2/Ny5qcGVn.jpeg,"Love Supreme (Main Vox Mix)|Love Supreme (Radio Edit)|You Give Me Love (Dub)|You Give Me Love (Instrumental) (""Hooton's Theme"")",,Keith Thompson,"[""Electronic""]",1.26
Living On The Frontline,2002,https://i.scdn.co/image/ab67616d0000b273f8e9a19a1b7a1551fdbe22a8,Living On The Frontline (Radio Edit)|Living On The Frontline (Vocalypso Mix)|Living On The Frontline (Simama Simamisha)|Living On The Frontline (Soca Riddim)|Living On The Frontline (Dub Plate),,Keith Thompson,"[""Electronic""]",1.81
